Rk,Player,Pos,Tm,Cap Hit
1,Kirk Cousins,QB,WAS,"$23,943,600"
2,Trumaine Johnson,CB,LAR,"$16,742,400"
3,Josh Norman,CB,WAS,"$16,500,000"
,Von Miller,LB,DEN,"$16,500,000"
5,Justin Houston,LB,KAN,"$16,350,000"
6,Matt Ryan,QB,ATL,"$15,750,000"
7,Carson Palmer,QB,ARI,"$15,500,000"
8,Muhammad Wilkerson,DT,NYJ,"$14,750,000"
9,Sam Bradford,QB,MIN,"$14,000,000"
10,Malik Jackson,DT,JAX,"$13,500,000"
11,Gerald McCoy,DT,TAM,"$13,250,000"
12,Cam Newton,QB,CAR,"$13,166,666"
13,Andy Dalton,QB,CIN,"$13,100,000"
14,Eli Manning,QB,NYG,"$13,000,000"
,Drew Brees,QB,NOR,"$13,000,000"
,Dez Bryant,WR,DAL,"$13,000,000"
17,Janoris Jenkins,CB,NYG,"$12,900,000"
18,Ezekiel Ansah,DE,DET,"$12,734,000"
19,Russell Wilson,QB,SEA,"$12,600,000"
20,Aaron Rodgers,QB,GNB,"$12,550,000"
21,Le'Veon Bell,RB,PIT,"$12,120,000"
22,Ben Roethlisberger,QB,PIT,"$12,000,000"
23,Olivier Vernon,DE,NYG,"$11,750,000"
24,Julio Jones,WR,ATL,"$11,500,000"
25,Richard Sherman,DB,SEA,"$11,431,000"
26,Trent Williams,T,WAS,"$11,250,000"
27,Larry Fitzgerald,WR,ARI,"$11,000,000"
,Aqib Talib,DB,DEN,"$11,000,000"
,Philip Rivers,QB,LAC,"$11,000,000"
30,Alex Smith,QB,KAN,"$10,800,000"
31,J.J. Watt,DE,HOU,"$10,500,000"
32,A.J. Green,WR,CIN,"$10,300,000"
33,Clay Matthews,LB,GNB,"$10,100,000"
34,Ndamukong Suh,DT,MIA,"$9,985,000"
35,Patrick Peterson,CB,ARI,"$9,750,000"
,Marcell Dareus,DT,2TM,"$9,750,000"
37,Duane Brown,G,2TM,"$9,400,000"
38,Vontae Davis,DB,IND,"$9,000,000"
,Calais Campbell,DE,JAX,"$9,000,000"
,Cordy Glenn,T,BUF,"$9,000,000"
41,Justin Pugh,OG,NYG,"$8,821,000"
42,Joe Thomas,T,CLE,"$8,800,000"
43,Damon Harrison,DT,NYG,"$8,750,000"
44,Randall Cobb,WR,GNB,"$8,600,000"
45,Byron Maxwell,DB,2TM,"$8,500,000"
,Demaryius Thomas,WR,DEN,"$8,500,000"
,Earl Thomas,DB,SEA,"$8,500,000"
48,Alec Ogletree,OLB,LAR,"$8,369,000"
49,Jordy Nelson,WR,GNB,"$8,250,000"
,Ryan Kerrigan,DE,WAS,"$8,250,000"
,Joe Staley,T,SFO,"$8,250,000"
52,Sheldon Richardson,DT,SEA,"$8,069,000"
53,Xavier Rhodes,CB,MIN,"$8,026,000"
54,Corey Liuget,DT,LAC,"$8,000,000"
,T.Y. Hilton,WR,IND,"$8,000,000"
,Mike Glennon,QB,CHI,"$8,000,000"
,DeAndre Hopkins,WR,HOU,"$8,000,000"
,Mike Iupati,G,ARI,"$8,000,000"
59,Mike Pouncey,OL,MIA,"$7,950,000"
60,Jimmy Graham,TE,SEA,"$7,900,000"
61,Lane Johnson,OT,PHI,"$7,750,000"
