name,rank,position,team,cap_hit
Kirk Cousins,1.0,QB,WAS,"$23,943,600"
Trumaine Johnson,2.0,CB,LAR,"$16,742,400"
Josh Norman,3.0,CB,WAS,"$16,500,000"
Von Miller,,LB,DEN,"$16,500,000"
Justin Houston,5.0,LB,KAN,"$16,350,000"
Matt Ryan,6.0,QB,ATL,"$15,750,000"
Carson Palmer,7.0,QB,ARI,"$15,500,000"
Muhammad Wilkerson,8.0,DT,NYJ,"$14,750,000"
Sam Bradford,9.0,QB,MIN,"$14,000,000"
Malik Jackson,10.0,DT,JAX,"$13,500,000"
Gerald McCoy,11.0,DT,TAM,"$13,250,000"
Cam Newton,12.0,QB,CAR,"$13,166,666"
Andy Dalton,13.0,QB,CIN,"$13,100,000"
Eli Manning,14.0,QB,NYG,"$13,000,000"
Drew Brees,,QB,NOR,"$13,000,000"
Dez Bryant,,WR,DAL,"$13,000,000"
Janoris Jenkins,17.0,CB,NYG,"$12,900,000"
Ezekiel Ansah,18.0,DE,DET,"$12,734,000"
Russell Wilson,19.0,QB,SEA,"$12,600,000"
Aaron Rodgers,20.0,QB,GNB,"$12,550,000"
Le'Veon Bell,21.0,RB,PIT,"$12,120,000"
Ben Roethlisberger,22.0,QB,PIT,"$12,000,000"
Olivier Vernon,23.0,DE,NYG,"$11,750,000"
Julio Jones,24.0,WR,ATL,"$11,500,000"
Richard Sherman,25.0,DB,SEA,"$11,431,000"
Trent Williams,26.0,T,WAS,"$11,250,000"
Larry Fitzgerald,27.0,WR,ARI,"$11,000,000"
Aqib Talib,,DB,DEN,"$11,000,000"
Philip Rivers,,QB,LAC,"$11,000,000"
Alex Smith,30.0,QB,KAN,"$10,800,000"
J.J. Watt,31.0,DE,HOU,"$10,500,000"
A.J. Green,32.0,WR,CIN,"$10,300,000"
Clay Matthews,33.0,LB,GNB,"$10,100,000"
Ndamukong Suh,34.0,DT,MIA,"$9,985,000"
Patrick Peterson,35.0,CB,ARI,"$9,750,000"
Marcell Dareus,,DT,2TM,"$9,750,000"
Duane Brown,37.0,G,2TM,"$9,400,000"
Vontae Davis,38.0,DB,IND,"$9,000,000"
Calais Campbell,,DE,JAX,"$9,000,000"
Cordy Glenn,,T,BUF,"$9,000,000"
Justin Pugh,41.0,OG,NYG,"$8,821,000"
Joe Thomas,42.0,T,CLE,"$8,800,000"
Damon Harrison,43.0,DT,NYG,"$8,750,000"
Randall Cobb,44.0,WR,GNB,"$8,600,000"
Byron Maxwell,45.0,DB,2TM,"$8,500,000"
Demaryius Thomas,,WR,DEN,"$8,500,000"
Earl Thomas,,DB,SEA,"$8,500,000"
Alec Ogletree,48.0,OLB,LAR,"$8,369,000"
Jordy Nelson,49.0,WR,GNB,"$8,250,000"
Ryan Kerrigan,,DE,WAS,"$8,250,000"
Joe Staley,,T,SFO,"$8,250,000"
Sheldon Richardson,52.0,DT,SEA,"$8,069,000"
Xavier Rhodes,53.0,CB,MIN,"$8,026,000"
Corey Liuget,54.0,DT,LAC,"$8,000,000"
T.Y. Hilton,,WR,IND,"$8,000,000"
Mike Glennon,,QB,CHI,"$8,000,000"
DeAndre Hopkins,,WR,HOU,"$8,000,000"
Mike Iupati,,G,ARI,"$8,000,000"
Mike Pouncey,59.0,OL,MIA,"$7,950,000"
