name,age,birth_place,birthday,weight_lbs,height_in,college,player_id,number,position,current_stat,current_team,experience,high_school,high_school_loc,yrs_played
Fred Evans,,"Grand Rapids , MI",5/23/1921,185.0,71.0,Notre Dame,fredevans/2513736,,,Retired,,3 Seasons,,,1946 - 1948
Jim Raiff,,"Dayton , OH",12/21/1930,235.0,70.0,Dayton,jimraiff/2523700,,,Retired,,1 Season,,,1954 - 1954
Bobby Fowler,56.0,"Temple , TX",9/11/1960,230.0,74.0,Louisiana Tech,bobbyfowler/2514295,,,Retired,,1 Season,,,1985 - 1985
Quinn Johnson,30.0,"New Orleans , LA",9/30/1986,255.0,73.0,LSU,quinnjohnson/79593,,,Retired,,5 Seasons,,,2009 - 2013
L.T. Walton,25.0,"Detroit , MI",3/31/1992,305.0,77.0,Central Michigan,l.t.walton/2552444,96.0,DE,Active,Pittsburgh Steelers,3rd season,Clintondale HS,"Clinton Twp.,Macomb Co., MI",
Ross Petty,,"Sumner , IL",9/11/1892,180.0,73.0,Illinois,rosspetty/2523136,,,Retired,,1 Season,,,1920 - 1920
Tom Farris,,"Casper , WY",9/16/1920,185.0,73.0,Wisconsin,tomfarris/2513861,,,Retired,,3 Seasons,,,1946 - 1948
Jordan Leggett,22.0,"Navarre , FL",1/31/1995,250.0,77.0,Clemson,jordanleggett/2557885,,TE,Active,New York Jets,Rookie,Navarre HS,FL,
Pinky Thompson,,,,,,No College,pinkythompson/2527303,,,Retired,,1 Season,,,1927 - 1927
George Gonda,98.0,"Alverton , PA",2/23/1919,175.0,70.0,Duquesne,georgegonda/2515030,,,Retired,,1 Season,,,1942 - 1942
John Tanner,,"Orlando , FL",3/8/1945,231.0,76.0,Tennessee Tech,johntanner/2527011,,,Retired,,3 Seasons,,,1971 - 1974
Floyd Raglin,56.0,"Alton , IL",2/10/1961,180.0,69.0,Southern University,floydraglin/2523695,,,Retired,,1 Season,,,1987 - 1987
Jared Zabransky,33.0,,12/4/1983,219.0,74.0,Boise State,jaredzabransky/2495791,,,Retired,,1 Season,,,2007 - 2007
Joe Adams,27.0,"Little Rock , AR",11/22/1989,185.0,71.0,Arkansas,joeadams/2532782,,,Retired,,3 Seasons,,,2012 - 2014
