Current Team,Last_name,first_name,Name,Experience,xSalary,Salary,Position
Carolina Panthers,Coleman,Kurt,Kurt Coleman,8,1900000,1900000,Defense
Oakland Raiders,Carrie,T.J.,T.J. Carrie,4,1797000,1797000,Defense
Miami Dolphins,Allen,Nate,Nate Allen,8,1400000,1400000,Defense
Denver Broncos,Wilkinson,Elijah,Elijah Wilkinson,0,300883,300883,Offense
Los Angeles Rams,Johnson,Trumaine,Trumaine Johnson,6,16742400,16742400,Defense
San Francisco 49ers,Beadles,Zane,Zane Beadles,8,2450000,2450000,Defense
Los Angeles Chargers,Feeney,Dan,Dan Feeney,0,465000,465000,Offense
Houston Texans,Savage,Tom,Tom Savage,4,690000,690000,Offense
Miami Dolphins,Tunsil,Laremy,Laremy Tunsil,2,1016257,1016257,Offense
Jacksonville Jaguars,Williams,Marquez,Marquez Williams,0,348000,348000,Offense
Jacksonville Jaguars,Jackson,Malik,Malik Jackson,6,13500000,13500000,Defense
Kansas City Chiefs,Fulton,Zach,Zach Fulton,4,1788500,1788500,Offense
Buffalo Bills,Tate,Brandon,Brandon Tate,9,900000,900000,Offense
Los Angeles Chargers,Liuget,Corey,Corey Liuget,7,8000000,8000000,Defense
New Orleans Saints,Harris,Bryce,Bryce Harris,6,501471,501471,Defense
Cincinnati Bengals,Johnson,T.J.,T.J. Johnson,4,1300000,1300000,Offense
Minnesota Vikings,Bower,Tashawn,Tashawn Bower,0,465000,465000,Defense
Tennessee Titans,Lewan,Taylor,Taylor Lewan,4,1986136,1986136,Offense
New England Patriots,Chung,Patrick,Patrick Chung,9,2500000,2500000,Defense
Miami Dolphins,Drake,Kenyan,Kenyan Drake,2,595000,595000,Offense
Green Bay Packers,Rollins,Quinten,Quinten Rollins,3,775233,775233,Defense
New York Giants,Munson,Calvin,Calvin Munson,0,465000,465000,Defense
Green Bay Packers,Tripp,Jordan,Jordan Tripp,4,690000,690000,Defense
Baltimore Ravens,Mizzell,Taquan,Taquan Mizzell,0,465000,465000,Offense
Tampa Bay Buccaneers,McClain,Robert,Robert McClain,6,775000,775000,Defense
Houston Texans,Fuller,Kyle,Kyle Fuller,0,1740955,1740955,Defense
Minnesota Vikings,Johnson,Jaleel,Jaleel Johnson,0,465000,465000,Defense
Los Angeles Chargers,Perry,Joshua,Joshua Perry,2,317647,317647,Defense
Arizona Cardinals,Wetzel,John,John Wetzel,2,540000,540000,Defense
Kansas City Chiefs,Sorensen,Daniel,Daniel Sorensen,4,690000,690000,Defense
Green Bay Packers,Randall,Damarious,Damarious Randall,3,1154612,1154612,Defense
Detroit Lions,Jones,T.J.,T.J. Jones,2,690000,690000,Offense
Jacksonville Jaguars,Jones,Abry,Abry Jones,5,2500000,2500000,Defense
Denver Broncos,Kerr,Zach,Zach Kerr,4,1000000,1000000,Defense
Oakland Raiders,Hudson,Rodney,Rodney Hudson,7,6500000,6500000,Offense
Carolina Panthers,Byrd,Damiere,Damiere Byrd,2,540000,540000,Offense
Cincinnati Bengals,Westerman,Christian,Christian Westerman,2,540000,540000,Offense
